Team,Year,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SOW,SOL,SRS,SOS,TG/G,EVGF,EVGA,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,PIM/G,oPIM/G,S,S%,SA,SV%,PDO
Tampa Bay Lightning,2019,27,55,40,11,4,84,0.764,212,154,4,1,1,-0.05,6.65,151,124,51,178,28.65,27,176,84.66,6,2,8.6,8.9,1800,11.6,1785,0.914,101.1
Calgary Flames,2019,27.4,55,34,15,6,74,0.673,202,161,0,3,0.73,-0.02,6.6,142,117,44,197,22.34,36,178,79.78,16,5,8.9,10.6,1770,11.4,1600,0.901,100.6
San Jose Sharks,2019,29.1,56,33,16,7,73,0.652,203,175,0,3,0.45,-0.05,6.75,155,139,41,167,24.55,29,162,82.1,7,4,8.3,8.7,1925,10.5,1604,0.893,98.9
Winnipeg Jets,2019,26.4,55,34,18,3,71,0.645,191,159,2,1,0.52,-0.06,6.36,138,121,45,173,26.01,33,164,79.88,6,4,9.2,8.8,1758,10.8,1825,0.913,100.6
Toronto Maple Leafs,2019,27.4,54,34,17,3,71,0.657,194,153,0,0,0.74,-0.02,6.43,164,122,28,136,20.59,27,140,80.71,2,4,6.2,6.8,1698,11.4,1768,0.913,102.8
Nashville Predators,2019,28.5,57,33,20,4,70,0.614,176,146,1,1,0.5,-0.02,5.65,144,106,25,188,13.3,32,175,81.71,6,7,8.1,10.2,1852,9.4,1671,0.913,100.8
New York Islanders,2019,28.3,54,32,16,6,70,0.648,158,132,3,5,0.45,-0.03,5.37,124,96,26,162,16.05,30,152,80.26,5,1,8.2,8.1,1550,10,1656,0.923,102.2
Montreal Canadiens,2019,27.6,56,31,18,7,69,0.616,172,162,2,0,0.17,-0.01,5.96,142,121,24,178,13.48,37,179,79.33,4,4,8.6,8.4,1873,9.1,1748,0.907,100.4
Boston Bruins,2019,28.4,55,30,17,8,68,0.618,160,144,1,2,0.29,0,5.53,110,99,47,173,27.17,33,161,79.5,2,10,9.8,9.3,1817,8.8,1683,0.916,99.9
Washington Capitals,2019,28.4,55,30,18,7,67,0.609,186,176,3,1,0.17,-0.01,6.58,146,130,34,162,20.99,41,189,78.31,3,4,9.2,8.8,1665,11,1783,0.902,101.5
Vegas Golden Knights,2019,29.1,57,31,22,4,66,0.579,170,157,2,1,0.16,-0.06,5.74,130,128,31,171,18.13,27,163,83.44,7,1,6.9,7.4,1902,8.8,1633,0.904,98.9
Columbus Blue Jackets,2019,26.3,54,31,20,3,65,0.602,177,167,0,1,0.13,-0.06,6.37,147,139,26,156,16.67,23,145,84.14,4,4,6.5,6.7,1719,10.3,1627,0.898,100.1
Pittsburgh Penguins,2019,28.4,55,28,20,7,63,0.573,189,172,1,2,0.32,0.01,6.56,145,131,36,153,23.53,27,150,82,7,12,7.6,7.3,1789,10.5,1816,0.906,101.1
Carolina Hurricanes,2019,26.5,55,28,21,6,62,0.564,161,160,1,2,0.03,0.01,5.84,125,118,29,181,16.02,34,172,80.23,6,6,7.3,8.2,1952,8.2,1542,0.898,98.7
Dallas Stars,2019,28,55,28,22,5,61,0.555,142,140,0,0,0.06,0.02,5.13,108,111,30,144,20.83,28,163,82.82,4,1,7.9,7.3,1660,8.6,1705,0.918,100.2
Buffalo Sabres,2019,26.5,54,27,20,7,61,0.565,161,167,4,1,-0.1,0.01,6.07,125,134,30,160,18.75,27,150,82,2,5,7.3,7.7,1759,8.9,1765,0.906,100.2
Minnesota Wild,2019,29.6,55,27,23,5,59,0.536,155,160,1,2,-0.12,-0.03,5.73,115,127,34,162,20.99,29,165,82.42,5,2,8,8.7,1729,8.9,1604,0.901,98.6
St. Louis Blues,2019,27.9,53,26,22,5,57,0.538,150,155,0,1,-0.05,0.05,5.75,119,114,28,153,18.3,35,164,78.66,3,5,8,8.2,1664,9,1523,0.899,99.7
Philadelphia Flyers,2019,26.6,55,25,23,7,57,0.518,161,182,2,1,-0.4,-0.02,6.24,128,133,27,164,16.46,40,168,76.19,4,8,9.2,8.4,1726,9.2,1719,0.895,99.8
Vancouver Canucks,2019,26.9,56,25,24,7,57,0.509,162,174,2,3,-0.17,0.04,6,125,126,29,178,16.29,38,185,79.46,6,7,9.7,8.9,1638,9.8,1755,0.903,100.3
New York Rangers,2019,27.6,54,23,23,8,54,0.5,152,181,6,2,-0.52,0.02,6.17,109,136,32,154,20.78,41,178,76.97,5,2,9.2,7.8,1534,9.5,1757,0.898,99.7
Colorado Avalanche,2019,26.8,54,22,22,10,54,0.5,179,181,0,1,-0.02,0.02,6.67,125,130,47,197,23.86,45,189,76.19,7,5,9.7,9.8,1747,10.2,1692,0.894,99.4
Florida Panthers,2019,27.9,53,23,22,8,54,0.509,166,184,2,4,-0.3,0.04,6.6,113,143,50,185,27.03,27,147,81.63,1,10,8.4,9.1,1775,9.2,1622,0.889,97.8
Chicago Blackhawks,2019,28.3,55,22,24,9,53,0.482,177,201,1,1,-0.38,0.06,6.87,135,153,37,169,21.89,43,163,73.62,4,4,7.9,7.3,1730,10.2,1929,0.896,99.8
Arizona Coyotes,2019,26.9,55,24,26,5,53,0.482,145,161,2,1,-0.29,0.01,5.56,100,130,31,177,17.51,24,161,85.09,12,6,7.5,8.4,1704,8.4,1683,0.905,98.3
Edmonton Oilers,2019,26.9,55,24,26,5,53,0.482,159,184,3,0,-0.44,0.02,6.24,113,137,37,162,22.84,43,174,75.29,6,4,9.3,7.7,1580,9.9,1722,0.893,99.4
Los Angeles Kings,2019,29.2,55,23,27,5,51,0.464,132,165,2,1,-0.58,0.02,5.4,104,115,23,150,15.33,39,162,75.93,3,10,7.3,7.3,1571,8.3,1747,0.906,100.2
Anaheim Ducks,2019,27.1,56,21,26,9,51,0.455,127,182,3,2,-0.95,0.04,5.52,100,135,22,148,14.86,37,182,79.67,2,8,8.3,6.6,1538,8.1,1922,0.906,99.4
Detroit Red Wings,2019,29.4,55,21,27,7,49,0.445,154,181,2,5,-0.45,0.04,6.09,122,131,25,151,16.56,40,177,77.4,5,5,8.1,7.3,1613,9.4,1801,0.902,100.3
New Jersey Devils,2019,27.5,54,20,26,8,48,0.444,156,184,1,3,-0.45,0.07,6.3,117,147,32,175,18.29,28,174,83.91,6,6,8.6,9.3,1715,9,1689,0.893,98.9
Ottawa Senators,2019,27.4,55,21,29,5,47,0.427,172,201,0,0,-0.52,0.01,6.78,137,165,32,151,21.19,33,147,77.55,3,3,8.7,8.3,1638,10.5,2015,0.9,100.1
Nashville Predators,2018,28.4,82,53,18,11,117,0.713,267,211,6,7,0.71,0.03,5.83,193,145,58,274,21.17,54,299,81.94,10,5,11.3,9.6,2641,9.9,2659,0.923,101.6
Winnipeg Jets,2018,26.8,82,52,20,10,114,0.695,277,218,4,2,0.74,0.02,6.04,200,159,64,274,23.36,50,274,81.75,9,7,8.5,8.6,2643,10.3,2613,0.917,101
Tampa Bay Lightning,2018,27.5,82,54,23,5,113,0.689,296,236,6,2,0.66,-0.07,6.49,216,172,66,276,23.91,64,267,76.03,9,3,10.1,10.4,2737,10.7,2756,0.912,102
Boston Bruins,2018,28.6,82,50,20,12,112,0.683,270,214,3,3,0.62,-0.07,5.9,197,161,61,258,23.64,40,245,83.67,9,10,9.5,9.6,2703,9.9,2399,0.912,100.2
Vegas Golden Knights,2018,28,82,51,24,7,109,0.665,272,228,4,3,0.52,-0.01,6.1,218,182,53,248,21.37,44,237,81.43,8,5,7.1,7.8,2774,10.1,2619,0.911,100.5
Washington Capitals,2018,28.4,82,49,26,7,105,0.64,259,239,3,1,0.21,-0.04,6.07,197,178,55,244,22.54,53,269,80.3,4,8,9.9,9.3,2400,10.7,2637,0.909,101.4
Toronto Maple Leafs,2018,28.3,82,49,26,7,105,0.64,277,232,7,2,0.49,-0.06,6.21,213,189,56,224,25,43,231,81.39,4,5,7.4,7.1,2700,10.1,2844,0.915,101.6
Anaheim Ducks,2018,28.7,82,44,25,13,101,0.616,235,216,4,7,0.24,0.01,5.5,183,159,38,214,17.76,46,274,83.21,10,4,10,8.6,2475,9.3,2716,0.923,101.2
Minnesota Wild,2018,29.5,82,45,26,11,101,0.616,253,232,3,3,0.29,0.04,5.91,194,176,49,240,20.42,51,272,81.25,7,6,8.4,7.7,2506,10,2595,0.91,100.7
Pittsburgh Penguins,2018,27.7,82,47,29,6,100,0.61,272,250,2,2,0.23,-0.04,6.37,198,195,68,260,26.15,53,265,80,6,3,9.6,9.2,2845,9.6,2575,0.902,98.5
San Jose Sharks,2018,28.8,82,45,27,10,100,0.61,252,229,5,3,0.28,0,5.87,188,191,53,257,20.62,34,224,84.82,8,3,7.8,8.1,2744,9.1,2521,0.909,99.3
Philadelphia Flyers,2018,27.4,82,42,26,14,98,0.598,251,243,2,7,0.07,-0.03,6.02,196,176,54,261,20.69,54,223,75.78,3,10,8.7,9.3,2683,9.5,2506,0.903,100.3
Los Angeles Kings,2018,29.1,82,45,29,8,98,0.598,239,203,2,1,0.44,0,5.39,183,159,49,240,20.42,39,260,85,5,4,9,8.3,2544,9.3,2537,0.92,101
